species.id,decomp_rate,growth_rate,hyphal_density,competitive_rank,enzyme_phos,enzyme_nag,enzyme_lap,enzyme_bg,enzyme_cbh,enzyme_perox,enzyme_phenox1,enzyme_phenox2,f.fom.n,h.seti.n,l.carib.s,l.conif.n,l.crin.s,l.gilb.s,l.huron.n,m.trem.s,p.flav.s,p.gilv.n,p.har.n,p.pend.n,p.robin.n,p.rufa.acer.n,p.sang.s,s.comm.n,t.chion.n,x.sub.s
f.fom,21.66,4.71,0.002,0.08,15.7,8.4,0.1,1.8,1.6,0.377,1.056,40.244,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5
h.seti,6.14,4.11,0.09,0.57,6.3,9.3,0.3,5.7,0.6,0.236,0.179,28.949,0.5,1,0.5,0.5,0.5,1,1,0,0,0.5,0.5,0.5,0.5,0,0.5,0,0,0.5
l.carib,6.09,3.77,0.1,0.27,2.3,22.6,0.3,5.6,3,0.0001,0.5185,31.741,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5
l.conif,20.55,5.16,0.04,0.08,46.6,12.6,1.5,2.6,1.3,0.007,0.866,32.311,0.5,0.5,0.5,1,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0.5
l.crin,9.34,6.38,0.05,0.32,0.3,3.3,0.1,0.2,0.6,0.161,0.261,21.799,0.5,0.5,0.5,0.5,1,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
l.gilb,6.85,4.14,0.12,0.11,9.7,17.4,0.3,2.1,1.1,0.0001,0.0001,28.931,0.5,0,0.5,0.5,0.5,1,1,0.5,0,0.5,0.5,0.5,0.5,0,0,0,0,0.5
l.huron,6.03,3.39,0.41,0.05,21.2,8.5,0.5,1.8,1.3,0.0001,0.015,0.0001,0.5,0,0,1,0.5,0,1,0,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5
m.trem,16.01,9.62,0.02,0.7,2.1,2.9,0.0001,2,1.3,0.0001,2.4,1.492,0.5,1,0.5,0.5,1,0.5,1,1,0.5,0.5,1,0.5,0.5,0.5,0.5,1,0.5,1
p.flav,8.96,10.8,0.04,0.97,3,2.9,0.1,2.2,1.5,0.0001,1.066,0.0001,1,1,0.5,0.5,0.5,1,1,0.5,1,0.5,0.5,1,1,1,0.5,0.5,0.5,0.5
p.gilv,19.84,4.04,0.03,0.22,3.4,3.3,0.3,2.2,1.2,0.249,0.307,14.4575,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0,0,0.5,0.5,0.5
p.har,13.02,1.54,1.8,0.24,14.4,5.2,0.9,2.5,1.9,1.3925,0.132,2.2675,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,1,0.5,0.5,0,0.5,0.5,0.5,0.5
p.pend,1.28,4.06,0.32,0.22,17,17.5,0.0001,2.9,1.1,0.0001,0.134,32.647,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,1,0.5,0,0.5,0.5,0.5,0.5
p.robin,4.29,2.3,0.07,0.27,14.6,7.9,0.0001,1.8,1.3,0.7275,0.4095,31.736,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,1,0,0.5,0.5,0,0.5
p.rufa.acer,22.36,8.75,0.14,1,2.9,1.4,0.0001,0.6,1.1,0.068,0.473,32.306,1,1,0.5,1,1,1,1,0.5,0,1,1,1,1,1,0.5,1,0.5,0.5
p.sang,18.52,4.97,0.02,0.49,1.4,1.2,0.0001,1.9,1,0.185,0.1395,16.188,1,0.5,0.5,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,1,1,0,0.5
s.comm,2.2,4.41,0.53,0.43,14.3,28.8,0.0001,5.6,1,0.0001,0.0001,0.0001,1,1,1,1,0.5,1,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,1,0.5,0.5
t.chion,17.29,3.88,0.06,0.65,1.8,47.7,0.0001,14.9,2.5,0.0001,0.0001,0.77,0.5,1,0.5,0.5,0.5,1,1,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,1,0.5
x.sub,7.95,0.77,1.74,0.24,52.5,50.8,0.0001,4.3,1.6,0.0001,0.0001,0.0001,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
